Experiment,Features,MAE,RMSE,R2,MAPE%,Within10MT%
F: D + MAINT_SLIM (26),28,3.8882019145289943,6.461015454376212,0.9607837970759359,10.783647285443916,92.29885057471265
D: CORE + HULL + SPEED + WEATHER (24),26,3.900667637971809,6.51648733975418,0.960107514747199,10.887882361550828,92.22222222222223
E: D + MAINT_FULL (34),36,3.9051743380077495,6.4897794066701975,0.9604338446846085,10.85917106095242,92.1455938697318
G: D + MAINT_FULL + DERIVED (38),40,3.9648200314425646,6.554248192201101,0.9596438481622204,10.988109374524841,92.18390804597702
C: CORE + HULL + SPEED (15),17,4.201819294588731,6.805480818262263,0.9564907487152244,11.728788885659986,91.455938697318
A: CORE only (6),8,4.29709971053027,7.199012744830274,0.9513133529821989,11.932912741630044,90.84291187739464
B: CORE + HULL (11),13,4.302573885582256,6.870000069354054,0.9556618606126642,12.082298899495397,90.95785440613027
I: Top6 importance only,7,4.332666426931669,7.226524730176714,0.9509405169166727,12.051342889147435,90.80459770114942
H: CORE + MAINT_FULL (16),18,4.401887189185363,7.076629543199787,0.9529546283399557,12.192280597930287,90.30651340996168
