Experiment,Train_size,Val_size,Features,MAE,RMSE,R2,MAPE_high,Within5,Within10
4: 合併訓練 CV (ENHANCED),8309,1661,30,3.990210749919799,0.0,0.0,0.0,0.0,0.0
3: 合併訓練 CV (BASE),8309,1661,25,4.046058358883142,0.0,0.0,0.0,0.0,0.0
6: S1-12 全部 + weight + ENHANCED,17422,1720,30,4.051492749114098,6.801876376310141,0.945161526556822,5.943882193519444,74.4767441860465,92.61627906976744
2: S1-12 穩態 + ENHANCED,6589,1720,30,4.081101223663787,6.89709700431775,0.9436153931956409,6.033260236941455,74.82558139534883,92.61627906976744
5: S1-12 全部 + weight + BASE,17422,1720,25,4.093481752598393,6.879211595285476,0.9439074448208755,6.053001368859303,73.77906976744187,92.55813953488372
1: S1-12 穩態 + BASE,6589,1720,25,4.098362571015049,6.932291191137762,0.9430384915330846,6.20052114881676,75.11627906976744,92.44186046511628
7: 全部 + weight + ENHANCED CV,21542,4308,30,5.7098973895250245,0.0,0.0,0.0,0.0,0.0
