MAE,RMSE,R2,MAPE_high,Within5,Within10,Experiment,Features
4.075229947915226,6.9454744311240075,0.9428216364560086,6.103393451905115,74.70930232558139,92.44186046511628,B: + speed_loss,26
4.098362571015049,6.932291191137762,0.9430384915330846,6.20052114881676,75.11627906976744,92.44186046511628,A: BASE only,25
4.18246874037043,7.016094114558398,0.9416529772966334,6.263168582694028,74.36046511627907,91.22093023255815,F: + speed_loss + ship_mean + season,29
4.211982466758988,6.966120023132587,0.942481203075485,6.336637204764262,72.84883720930233,91.62790697674419,K: Stacking (Ridge meta),27
4.2221418986902925,7.000411994209346,0.9419135161160984,6.367829021013508,72.84883720930233,91.74418604651163,G: + speed_loss + ship_mean + degradation,28
4.223387044152373,7.004531585535978,0.9418451307168796,6.372779857839802,73.19767441860465,92.03488372093022,H: + speed_loss + ship_mean + physics,28
4.224054191978865,7.051005695890302,0.941070871428196,6.392636967109347,73.48837209302326,91.74418604651163,C: + ship_mean,26
4.235684507835748,7.004346798628149,0.9418481990495983,6.379851402829676,72.38372093023256,91.56976744186046,D: + speed_loss + ship_mean,27
4.2867513361179705,7.10984300729389,0.9400832966500565,6.422463199186589,72.55813953488372,91.80232558139535,E: + all new features,32
4.622492941157743,7.274806991517016,0.9372706425602721,6.981750306660511,69.01162790697674,90.63953488372093,J: RESIDUAL (physics + ML correction),28
4.642534911388378,7.408460519343643,0.9349445283969334,7.211756782839024,68.6046511627907,90.40697674418605,I: LOG transform (D features),27
